date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2012-01-01,0.0,7.0,0.0,1.0,1.0,1.0,0.0
2012-01-08,7.0,20.0,0.0,9.0,7.0,24.0,0.0
2012-01-15,12.0,19.0,0.0,13.0,8.0,4.0,0.0
2012-01-22,12.0,23.0,2.0,14.0,5.0,5.0,0.0
2012-01-29,2.0,130.0,8.0,8.0,5.0,14.0,0.0
2012-02-05,3.0,200.0,11.0,9.0,10.0,17.0,0.0
2012-02-12,3.0,78.0,17.0,27.0,13.0,4.0,0.0
2012-02-19,1.0,29.0,0.0,16.0,45.0,25.0,0.0
2012-02-26,11.0,5.0,3.0,7.0,4.0,14.0,0.0
2012-03-04,3.0,6.0,0.0,3.0,1.0,15.0,2.0
2012-03-11,5.0,17.0,2.0,10.0,15.0,5.0,0.0
2012-03-18,5.0,25.0,2.0,11.0,8.0,15.0,1.0
2012-03-25,0.0,13.0,0.0,14.0,15.0,31.0,1.0
2012-04-01,1.0,13.0,3.0,9.0,10.0,8.0,2.0
2012-04-08,0.0,28.0,0.0,27.0,11.0,8.0,2.0
2012-04-15,0.0,32.0,0.0,8.0,5.0,1.0,1.0
2012-04-22,0.0,52.0,0.0,11.0,34.0,17.0,0.0
2012-04-29,1.0,53.0,1.0,11.0,28.0,17.0,1.0
2012-05-06,1.0,156.0,1.0,4.0,6.0,25.0,1.0
2012-05-13,2.0,18.0,15.0,10.0,10.0,9.0,0.0
2012-05-20,1.0,16.0,7.0,5.0,17.0,3.0,6.0
2012-05-27,1.0,15.0,2.0,5.0,4.0,9.0,0.0
2012-06-03,0.0,141.0,1.0,6.0,2.0,3.0,1.0
2012-06-10,3.0,109.0,2.0,13.0,3.0,14.0,0.0
2012-06-17,7.0,33.0,0.0,12.0,6.0,3.0,0.0
2012-06-24,3.0,134.0,4.0,5.0,8.0,9.0,0.0
2012-07-01,3.0,40.0,4.0,11.0,4.0,3.0,0.0
2012-07-08,0.0,24.0,3.0,4.0,0.0,8.0,4.0
2012-07-15,2.0,25.0,2.0,16.0,1.0,10.0,6.0
2012-07-22,0.0,9.0,0.0,5.0,6.0,24.0,2.0
2012-07-29,0.0,3.0,0.0,3.0,1.0,6.0,6.0
2012-08-05,0.0,5.0,0.0,5.0,1.0,6.0,0.0
2012-08-12,0.0,11.0,0.0,1.0,2.0,1.0,0.0
2012-08-19,3.0,4.0,0.0,7.0,7.0,4.0,0.0
2012-08-26,0.0,44.0,0.0,5.0,4.0,13.0,0.0
2012-09-02,2.0,13.0,2.0,11.0,3.0,8.0,0.0
2012-09-09,0.0,18.0,3.0,13.0,18.0,1.0,0.0
2012-09-16,2.0,125.0,11.0,11.0,3.0,7.0,5.0
2012-09-23,0.0,15.0,4.0,9.0,13.0,5.0,1.0
2012-09-30,0.0,7.0,5.0,10.0,11.0,6.0,3.0
2012-10-07,0.0,10.0,10.0,31.0,16.0,2.0,0.0
2012-10-14,0.0,66.0,1.0,6.0,15.0,1.0,0.0
2012-10-21,0.0,29.0,21.0,12.0,8.0,0.0,0.0
2012-10-28,0.0,3.0,7.0,3.0,9.0,6.0,0.0
2012-11-04,0.0,10.0,27.0,2.0,10.0,7.0,0.0
2012-11-11,0.0,20.0,2.0,3.0,5.0,8.0,0.0
2012-11-18,1.0,27.0,0.0,56.0,0.0,6.0,0.0
2012-11-25,0.0,192.0,0.0,7.0,1.0,0.0,1.0
2012-12-02,0.0,257.0,0.0,8.0,6.0,2.0,3.0
2012-12-09,0.0,214.0,2.0,2.0,5.0,3.0,0.0
2012-12-16,1.0,67.0,3.0,2.0,11.0,6.0,1.0
2012-12-23,3.0,38.0,5.0,3.0,18.0,2.0,1.0
2012-12-30,10.0,1.0,0.0,5.0,1.0,0.0,4.0
2013-01-06,16.0,7.0,4.0,3.0,4.0,2.0,0.0
2013-01-13,32.0,13.0,3.0,5.0,3.0,0.0,0.0
2013-01-20,9.0,22.0,0.0,19.0,6.0,2.0,2.0
2013-01-27,32.0,134.0,0.0,20.0,15.0,6.0,0.0
2013-02-03,4.0,163.0,2.0,0.0,4.0,6.0,1.0
2013-02-10,8.0,79.0,0.0,5.0,6.0,4.0,0.0
2013-02-17,11.0,88.0,1.0,3.0,34.0,4.0,1.0
2013-02-24,8.0,52.0,2.0,17.0,11.0,4.0,0.0
2013-03-03,3.0,44.0,4.0,1.0,7.0,4.0,1.0
2013-03-10,14.0,42.0,14.0,2.0,1.0,0.0,1.0
2013-03-17,3.0,48.0,4.0,4.0,8.0,2.0,0.0
2013-03-24,7.0,69.0,5.0,10.0,6.0,0.0,0.0
2013-03-31,7.0,49.0,7.0,3.0,3.0,1.0,0.0
2013-04-07,8.0,57.0,6.0,0.0,4.0,4.0,2.0
2013-04-14,2.0,42.0,4.0,1.0,6.0,2.0,2.0
2013-04-21,2.0,73.0,6.0,8.0,11.0,3.0,0.0
2013-04-28,17.0,25.0,7.0,6.0,5.0,4.0,1.0
2013-05-05,6.0,30.0,26.0,10.0,6.0,10.0,2.0
2013-05-12,3.0,7.0,11.0,2.0,4.0,9.0,0.0
2013-05-19,4.0,22.0,1.0,3.0,5.0,2.0,6.0
2013-05-26,8.0,9.0,0.0,10.0,10.0,2.0,0.0
2013-06-02,6.0,12.0,1.0,3.0,2.0,1.0,0.0
2013-06-09,3.0,15.0,5.0,1.0,2.0,5.0,0.0
2013-06-16,1.0,16.0,0.0,6.0,1.0,2.0,0.0
2013-06-23,2.0,33.0,0.0,7.0,0.0,12.0,3.0
2013-06-30,16.0,123.0,0.0,6.0,3.0,4.0,0.0
2013-07-07,1.0,341.0,8.0,8.0,1.0,3.0,0.0
2013-07-14,2.0,222.0,3.0,2.0,1.0,2.0,2.0
2013-07-21,4.0,147.0,0.0,2.0,0.0,4.0,2.0
2013-07-28,1.0,156.0,14.0,11.0,2.0,2.0,3.0
2013-08-04,0.0,131.0,3.0,5.0,0.0,3.0,0.0
2013-08-11,0.0,81.0,2.0,1.0,2.0,1.0,0.0
2013-08-18,2.0,258.0,10.0,9.0,15.0,1.0,1.0
2013-08-25,0.0,90.0,0.0,3.0,13.0,28.0,0.0
2013-09-01,12.0,66.0,2.0,1.0,11.0,13.0,0.0
2013-09-08,2.0,40.0,7.0,0.0,7.0,8.0,6.0
2013-09-15,0.0,21.0,7.0,3.0,1.0,3.0,0.0
2013-09-22,0.0,26.0,2.0,1.0,2.0,4.0,0.0
2013-09-29,1.0,41.0,1.0,1.0,22.0,4.0,0.0
