date,Baghdad,Cairo,Tripoli,Amman,Manama,Damascus,Riyadh
2012-01-01,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2012-01-08,14.0,5.0,13.0,1.0,4.0,47.0,2.0
2012-01-15,27.0,3.0,0.0,1.0,1.0,12.0,1.0
2012-01-22,10.0,2.0,2.0,1.0,0.0,8.0,0.0
2012-01-29,29.0,13.0,20.0,5.0,3.0,17.0,0.0
2012-02-05,4.0,32.0,10.0,1.0,1.0,29.0,1.0
2012-02-12,4.0,23.0,7.0,0.0,0.0,31.0,0.0
2012-02-19,15.0,1.0,1.0,0.0,5.0,9.0,0.0
2012-02-26,24.0,22.0,1.0,8.0,0.0,9.0,1.0
2012-03-04,6.0,8.0,1.0,1.0,1.0,24.0,0.0
2012-03-11,10.0,6.0,2.0,2.0,0.0,21.0,0.0
2012-03-18,26.0,6.0,1.0,0.0,0.0,22.0,2.0
2012-03-25,31.0,2.0,6.0,0.0,0.0,31.0,0.0
2012-04-01,2.0,1.0,0.0,0.0,2.0,6.0,0.0
2012-04-08,0.0,0.0,2.0,1.0,1.0,18.0,3.0
2012-04-15,10.0,2.0,1.0,0.0,6.0,4.0,0.0
2012-04-22,1.0,0.0,4.0,2.0,1.0,8.0,2.0
2012-04-29,2.0,6.0,0.0,1.0,1.0,26.0,1.0
2012-05-06,5.0,74.0,0.0,4.0,0.0,24.0,0.0
2012-05-13,0.0,5.0,17.0,0.0,0.0,35.0,1.0
2012-05-20,7.0,6.0,45.0,0.0,2.0,37.0,0.0
2012-05-27,3.0,6.0,4.0,0.0,0.0,35.0,1.0
2012-06-03,4.0,14.0,4.0,1.0,0.0,27.0,0.0
2012-06-10,27.0,16.0,8.0,0.0,1.0,36.0,1.0
2012-06-17,2.0,1.0,7.0,1.0,1.0,18.0,0.0
2012-06-24,7.0,2.0,1.0,0.0,0.0,14.0,1.0
2012-07-01,8.0,0.0,5.0,0.0,0.0,36.0,0.0
2012-07-08,9.0,3.0,1.0,0.0,0.0,8.0,0.0
2012-07-15,5.0,5.0,1.0,0.0,0.0,19.0,0.0
2012-07-22,4.0,3.0,1.0,1.0,0.0,119.0,0.0
2012-07-29,17.0,5.0,1.0,0.0,0.0,32.0,0.0
2012-08-05,20.0,6.0,1.0,5.0,2.0,69.0,1.0
2012-08-12,24.0,9.0,6.0,3.0,0.0,68.0,0.0
2012-08-19,11.0,6.0,0.0,2.0,3.0,51.0,0.0
2012-08-26,5.0,6.0,8.0,1.0,0.0,36.0,0.0
2012-09-02,19.0,1.0,1.0,1.0,1.0,28.0,0.0
2012-09-09,9.0,3.0,0.0,2.0,0.0,18.0,0.0
2012-09-16,9.0,37.0,10.0,1.0,0.0,7.0,0.0
2012-09-23,24.0,3.0,2.0,1.0,2.0,15.0,1.0
2012-09-30,69.0,5.0,7.0,0.0,0.0,51.0,0.0
2012-10-07,16.0,2.0,1.0,0.0,1.0,12.0,0.0
2012-10-14,7.0,19.0,1.0,1.0,0.0,19.0,0.0
2012-10-21,17.0,3.0,15.0,0.0,0.0,18.0,0.0
2012-10-28,5.0,3.0,3.0,2.0,2.0,27.0,0.0
2012-11-04,11.0,0.0,4.0,0.0,0.0,23.0,0.0
2012-11-11,10.0,5.0,7.0,0.0,6.0,39.0,3.0
2012-11-18,2.0,8.0,2.0,0.0,0.0,16.0,0.0
2012-11-25,1.0,19.0,0.0,4.0,0.0,19.0,0.0
2012-12-02,14.0,12.0,2.0,0.0,0.0,38.0,1.0
2012-12-09,5.0,20.0,4.0,0.0,0.0,13.0,0.0
2012-12-16,13.0,8.0,1.0,0.0,0.0,20.0,2.0
2012-12-23,1.0,2.0,0.0,0.0,0.0,15.0,0.0
2012-12-30,1.0,5.0,4.0,0.0,1.0,20.0,0.0
2013-01-06,3.0,6.0,0.0,1.0,0.0,16.0,0.0
2013-01-13,4.0,12.0,1.0,0.0,0.0,17.0,0.0
2013-01-20,24.0,4.0,2.0,0.0,1.0,6.0,0.0
2013-01-27,26.0,16.0,2.0,0.0,4.0,2.0,0.0
2013-02-03,7.0,24.0,2.0,0.0,0.0,10.0,0.0
2013-02-10,47.0,22.0,1.0,0.0,0.0,17.0,0.0
2013-02-17,9.0,15.0,1.0,0.0,3.0,17.0,1.0
2013-02-24,4.0,3.0,2.0,0.0,0.0,19.0,0.0
2013-03-03,3.0,5.0,3.0,0.0,0.0,12.0,0.0
2013-03-10,11.0,19.0,5.0,3.0,2.0,20.0,0.0
2013-03-17,28.0,4.0,1.0,0.0,1.0,14.0,1.0
2013-03-24,14.0,12.0,6.0,0.0,0.0,46.0,1.0
2013-03-31,8.0,11.0,12.0,0.0,0.0,30.0,0.0
2013-04-07,20.0,9.0,8.0,0.0,1.0,18.0,0.0
2013-04-14,1.0,22.0,10.0,0.0,2.0,23.0,1.0
2013-04-21,19.0,14.0,10.0,2.0,4.0,17.0,0.0
2013-04-28,39.0,1.0,16.0,3.0,3.0,32.0,1.0
2013-05-05,6.0,5.0,8.0,2.0,0.0,37.0,0.0
2013-05-12,21.0,13.0,17.0,1.0,0.0,17.0,0.0
