date,Iraq,Egypt,Libya,Jordan,Bahrain,Syria,Saudi Arabia
2012-01-01,2.0,1.0,0.0,1.0,2.0,0.0,0.0
2012-01-08,11.0,12.0,1.0,9.0,3.0,4.0,8.0
2012-01-15,15.0,16.0,3.0,4.0,7.0,16.0,2.0
2012-01-22,34.0,9.0,3.0,10.0,4.0,13.0,1.0
2012-01-29,14.0,18.0,6.0,18.0,11.0,17.0,12.0
2012-02-05,13.0,75.0,15.0,10.0,7.0,20.0,1.0
2012-02-12,12.0,39.0,7.0,14.0,7.0,17.0,7.0
2012-02-19,12.0,12.0,9.0,5.0,64.0,24.0,3.0
2012-02-26,23.0,7.0,10.0,7.0,1.0,28.0,5.0
2012-03-04,15.0,48.0,2.0,5.0,5.0,18.0,5.0
2012-03-11,21.0,15.0,2.0,6.0,6.0,29.0,0.0
2012-03-18,7.0,24.0,25.0,17.0,1.0,27.0,7.0
2012-03-25,22.0,17.0,10.0,4.0,4.0,19.0,1.0
2012-04-01,13.0,19.0,8.0,16.0,2.0,19.0,3.0
2012-04-08,10.0,10.0,3.0,4.0,7.0,22.0,2.0
2012-04-15,7.0,9.0,18.0,5.0,5.0,14.0,6.0
2012-04-22,9.0,13.0,13.0,5.0,28.0,12.0,18.0
2012-04-29,1.0,14.0,11.0,11.0,22.0,19.0,6.0
2012-05-06,13.0,74.0,9.0,3.0,16.0,24.0,15.0
2012-05-13,13.0,30.0,5.0,5.0,16.0,16.0,1.0
2012-05-20,16.0,20.0,12.0,1.0,10.0,6.0,6.0
2012-05-27,25.0,29.0,7.0,4.0,15.0,10.0,1.0
2012-06-03,8.0,116.0,4.0,1.0,1.0,21.0,7.0
2012-06-10,2.0,38.0,29.0,3.0,2.0,17.0,3.0
2012-06-17,10.0,64.0,35.0,2.0,22.0,20.0,5.0
2012-06-24,2.0,28.0,14.0,3.0,4.0,3.0,14.0
2012-07-01,13.0,34.0,24.0,7.0,4.0,23.0,9.0
2012-07-08,11.0,15.0,26.0,5.0,2.0,5.0,6.0
2012-07-15,6.0,47.0,6.0,9.0,14.0,9.0,12.0
2012-07-22,6.0,26.0,5.0,1.0,1.0,15.0,7.0
2012-07-29,16.0,14.0,0.0,0.0,5.0,15.0,21.0
