date,Iraq,Baghdad,Egypt,Cairo,Libya,Tripoli,Jordan,Amman,Bahrain,Manama,Syria,Damascus,Saudi Arabia,Riyadh
2012-01-01,0.0,0.0,9.0,7.0,1.0,0.0,1.0,1.0,10.0,1.0,5.0,1.0,0.0,0.0
2012-01-08,16.0,7.0,43.0,20.0,2.0,0.0,10.0,9.0,26.0,7.0,42.0,24.0,0.0,0.0
2012-01-15,24.0,12.0,34.0,19.0,0.0,0.0,23.0,13.0,14.0,8.0,38.0,4.0,18.0,0.0
2012-01-22,23.0,12.0,38.0,23.0,67.0,2.0,17.0,14.0,16.0,5.0,26.0,5.0,2.0,0.0
2012-01-29,7.0,2.0,166.0,130.0,22.0,8.0,15.0,8.0,22.0,5.0,33.0,14.0,3.0,0.0
2012-02-05,10.0,3.0,278.0,200.0,14.0,11.0,14.0,9.0,23.0,10.0,52.0,17.0,2.0,0.0
2012-02-12,9.0,3.0,143.0,78.0,17.0,17.0,31.0,27.0,26.0,13.0,31.0,4.0,12.0,0.0
2012-02-19,4.0,1.0,43.0,29.0,4.0,0.0,21.0,16.0,71.0,45.0,66.0,25.0,3.0,0.0
2012-02-26,15.0,11.0,18.0,5.0,4.0,3.0,11.0,7.0,6.0,4.0,46.0,14.0,3.0,0.0
2012-03-04,6.0,3.0,12.0,6.0,2.0,0.0,6.0,3.0,3.0,1.0,50.0,15.0,3.0,2.0
2012-03-11,6.0,5.0,30.0,17.0,10.0,2.0,27.0,10.0,19.0,15.0,25.0,5.0,6.0,0.0
2012-03-18,8.0,5.0,38.0,25.0,12.0,2.0,22.0,11.0,12.0,8.0,70.0,15.0,8.0,1.0
2012-03-25,5.0,0.0,25.0,13.0,3.0,0.0,22.0,14.0,20.0,15.0,64.0,31.0,2.0,1.0
2012-04-01,1.0,1.0,28.0,13.0,5.0,3.0,14.0,9.0,16.0,10.0,32.0,8.0,4.0,2.0
2012-04-08,1.0,0.0,50.0,28.0,4.0,0.0,37.0,27.0,30.0,11.0,23.0,8.0,3.0,2.0
2012-04-15,2.0,0.0,39.0,32.0,1.0,0.0,17.0,8.0,10.0,5.0,48.0,1.0,5.0,1.0
2012-04-22,0.0,0.0,60.0,52.0,1.0,0.0,18.0,11.0,61.0,34.0,40.0,17.0,0.0,0.0
2012-04-29,3.0,1.0,66.0,53.0,13.0,1.0,17.0,11.0,42.0,28.0,39.0,17.0,1.0,1.0
2012-05-06,1.0,1.0,204.0,156.0,4.0,1.0,8.0,4.0,19.0,6.0,68.0,25.0,14.0,1.0
2012-05-13,20.0,2.0,41.0,18.0,19.0,15.0,19.0,10.0,13.0,10.0,46.0,9.0,1.0,0.0
2012-05-20,4.0,1.0,24.0,16.0,7.0,7.0,13.0,5.0,24.0,17.0,35.0,3.0,6.0,6.0
2012-05-27,2.0,1.0,19.0,15.0,3.0,2.0,8.0,5.0,12.0,4.0,50.0,9.0,1.0,0.0
2012-06-03,11.0,0.0,195.0,141.0,1.0,1.0,12.0,6.0,9.0,2.0,24.0,3.0,1.0,1.0
